ID Cliente,Nombre completo,Correo electrónico,Género,Ciudad,País,Dirección,ID Producto,Nombre del producto,Categoría,Origen,Descripción,Fecha de venta,Cantidad,Precio,Total
723,Sephira Bleackley,sbleackleyk2@liveinternet.ru,unknown,Girona,Spain,4 Birchwood Road,A1,,,,,2023-11-22,2,,17.98
498,Padgett Painter,ppainterdt@scientificamerican.com,Male,Barcelona,Spain,5 Artisan Lane,C3,,,,,2023-11-21,1,,5.49
121,Wye Sinncock,wsinncock3c@fc2.com,Male,Santander,Spain,4679 Fair Oaks Trail,D4,,,,,2023-11-20,3,,32.97
885,Windham Badham,wbadhamok@wired.com,Male,Hospitalet De Llobregat L',Spain,68 Nelson Junction,L12,,,,,2023-11-19,1,,6.49
347,Egbert Leborgne,eleborgne9m@reuters.com,Male,Sevilla,Spain,7 Quincy Way,Q17,,,,,2023-11-18,2,,7.98
619,Nicky Bernier,nbernierh6@4shared.com,Agender,Valladolid,Spain,55 Waubesa Trail,T20,,,,,2023-11-17,1,,7.89
812,Quinn Brenton,qbrentonmj@blogtalkradio.com,Female,Gijon,Spain,5495 Lakeland Junction,Y25,,,,,2023-11-16,2,,13.5
170,Brigit Witt,bwitt4p@va.gov,Female,Dos Hermanas,Spain,38 Ohio Point,U21,,,,,2023-11-15,1,,5.75
29,Jere Bampkin,jbampkins@wunderground.com,Male,Jaen,Spain,4478 Mockingbird Avenue,Z26,,,,,2023-11-14,2,,14.98
567,Chickie Corkhill,ccorkhillfq@china.com.cn,Male,Valladolid,Spain,9 4th Street,AA27,,,,,2023-11-13,1,,7.49
123,Noreen Mouncher,nmouncher3e@theguardian.com,Female,Zaragoza,Spain,3 Esker Circle,AF32,,,,,2023-11-08,2,,9.78
845,Kalie Michelotti,kmichelotting@telegraph.co.uk,Female,Sabadell,Spain,8 Prairieview Parkway,AG33,,,,,2023-11-07,1,,5.99
432,Minor Hryskiewicz,mhryskiewiczbz@businessweek.com,Male,Dos Hermanas,Spain,3 Declaration Way,AH34,,,,,2023-11-06,3,,19.47
789,Otho Varga,ovargalw@twitter.com,Male,Aviles,Spain,79 Kennedy Alley,AI35,,,,,2023-11-05,1,,6.75
356,Marisa Chrystie,mchrystie9v@furl.net,Female,Palencia,Spain,0955 Utah Crossing,AJ36,,,,,2023-11-04,2,,10.5
621,Tarah Geldart,tgeldarth8@hibu.com,Female,Vigo,Spain,8 Lillian Park,AK37,,,,,2023-11-03,1,,4.25
908,Nerta Divver,ndivverp7@nifty.com,Female,Madrid,Spain,9 Evergreen Point,AL38,,,,,2023-11-02,2,,14.5
276,Tova Wittey,twittey7n@timesonline.co.uk,Female,Palmas De Gran Canaria Las,Spain,87102 Sachtjen Park,AM39,,,,,2023-11-01,1,,8.75
543,Mano Briat,mbriatf2@parallels.com,unknown,Sevilla,Spain,90 Bultman Street,AN40,,,,,2023-10-31,2,,13.98
987,Cecil Hemms,chemmsre@reverbnation.com,Male,Madrid,Spain,1737 Commercial Lane,AO41,,,,,2023-10-30,1,,6.99
234,Anni Handrock,ahandrock6h@vk.com,Female,Sevilla,Spain,10 Maple Road,AP42,,,,,2023-10-29,3,,26.97
765,Clarita Srutton,csruttonl8@bbb.org,Female,Leganes,Spain,9421 3rd Road,AQ43,,,,,2023-10-28,1,,8.45
312,Micheline Spitaro,mspitaro8n@mediafire.com,Female,Castellon De La Plana/Castello De La Pla,Spain,88 Roxbury Drive,AR44,,,,,2023-10-27,2,,12.5
